SSID, BSS, RSSI, Channel, Time
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:29 pm"
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:32 pm"
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:34 pm"
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:37 pm"
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:39 pm"
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:41 pm"
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:44 pm"
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:46 pm"
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:48 pm"
"eduroam", "70:DB:98:AA:EF:A2", "-88", "11", "1:04:51 pm"
"LGF0G0220", "80:3F:5D:19:34:F6", "-93", "1", "1:04:34 pm"
"LGF0G0220", "80:3F:5D:19:34:F6", "-93", "1", "1:04:37 pm"
"LGF0G0220", "80:3F:5D:19:34:F6", "-93", "1", "1:04:39 pm"
"LGF0G0220", "80:3F:5D:19:34:F6", "-93", "1", "1:04:41 pm"
"LGF0G0220", "80:3F:5D:19:34:F6", "-93", "1", "1:04:44 pm"
"LGF0G0220", "80:3F:5D:19:34:F6", "-93", "1", "1:04:46 pm"
"LGF0G0220", "80:3F:5D:19:34:F6", "-93", "1", "1:04:48 pm"
"LGF0G0220", "80:3F:5D:19:34:F6", "-93", "1", "1:04:51 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:29 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:32 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:34 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:37 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:39 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:41 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:44 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:46 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:48 pm"
"eduroam", "70:DB:98:9A:20:62", "-89", "6", "1:04:51 pm"
"Unifi", "70:DB:98:9A:20:6F", "-90", "40", "1:04:44 pm"
"Unifi", "70:DB:98:9A:20:6F", "-89", "40", "1:04:46 pm"
"Unifi", "70:DB:98:9A:20:6F", "-88", "40", "1:04:48 pm"
"Unifi", "70:DB:98:9A:20:6F", "-88", "40", "1:04:51 pm"
"Unifi", "70:DB:98:AA:EF:AF", "-88", "56", "1:04:44 pm"
"Unifi", "70:DB:98:AA:EF:AF", "-88", "56", "1:04:46 pm"
"Unifi", "70:DB:98:AA:EF:AF", "-90", "56", "1:04:48 pm"
"Unifi", "70:DB:98:AA:EF:AF", "-90", "56", "1:04:51 pm"
"eduroam", "00:2C:C8:B0:40:82", "-86", "6", "1:04:44 pm"
"eduroam", "00:2C:C8:B0:40:82", "-86", "6", "1:04:46 pm"
"eduroam", "00:2C:C8:B0:40:82", "-86", "6", "1:04:48 pm"
"eduroam", "00:2C:C8:B0:40:82", "-86", "6", "1:04:51 pm"
"UnifiGuest", "70:DB:98:AA:EF:AE", "-89", "56", "1:04:32 pm"
"UnifiGuest", "70:DB:98:AA:EF:AE", "-89", "56", "1:04:34 pm"
"UnifiGuest", "70:DB:98:AA:EF:AE", "-89", "56", "1:04:37 pm"
"UnifiGuest", "70:DB:98:AA:EF:AE", "-89", "56", "1:04:39 pm"
"UnifiGuest", "70:DB:98:AA:EF:AE", "-89", "56", "1:04:41 pm"
"UnifiGuest", "70:DB:98:AA:EF:AE", "-88", "56", "1:04:44 pm"
"UnifiGuest", "70:DB:98:AA:EF:AE", "-89", "56", "1:04:46 pm"
"UnifiGuest", "70:DB:98:AA:EF:AE", "-89", "56", "1:04:48 pm"
"UnifiGuest", "70:DB:98:AA:EF:AE", "-89", "56", "1:04:51 pm"
"UnifiGuest", "70:DB:98:9A:20:6E", "-91", "40", "1:04:44 pm"
"UnifiGuest", "70:DB:98:9A:20:6E", "-90", "40", "1:04:46 pm"
"UnifiGuest", "70:DB:98:9A:20:6E", "-89", "40", "1:04:48 pm"
"UnifiGuest", "70:DB:98:9A:20:6E", "-90", "40", "1:04:51 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:29 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:32 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:34 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:37 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:39 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:41 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:44 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:46 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:48 pm"
"Unifi", "70:DB:98:9A:20:60", "-90", "6", "1:04:51 pm"
"Unifi", "64:D8:14:72:47:3F", "-80", "153", "1:04:16 pm"
"Unifi", "64:D8:14:72:47:3F", "-80", "153", "1:04:18 pm"
"Unifi", "64:D8:14:72:47:3F", "-80", "153", "1:04:20 pm"
"Unifi", "64:D8:14:72:47:3F", "-80", "153", "1:04:23 pm"
"Unifi", "64:D8:14:72:47:3F", "-80", "153", "1:04:25 pm"
"Unifi", "64:D8:14:72:47:3F", "-80", "153", "1:04:29 pm"
"Unifi", "64:D8:14:72:47:3F", "-80", "153", "1:04:32 pm"
"Unifi", "64:D8:14:72:47:3F", "-80", "153", "1:04:34 pm"
"Unifi", "64:D8:14:72:47:3F", "-80", "153", "1:04:37 pm"
"eduroam", "70:DB:98:9A:20:6D", "-91", "40", "1:04:39 pm"
"eduroam", "70:DB:98:9A:20:6D", "-91", "40", "1:04:41 pm"
"eduroam", "70:DB:98:9A:20:6D", "-89", "40", "1:04:44 pm"
"eduroam", "70:DB:98:9A:20:6D", "-90", "40", "1:04:46 pm"
"eduroam", "70:DB:98:9A:20:6D", "-89", "40", "1:04:48 pm"
"eduroam", "70:DB:98:9A:20:6D", "-90", "40", "1:04:51 pm"
"eduroam", "70:DB:98:AA:EF:AD", "-88", "56", "1:04:44 pm"
"eduroam", "70:DB:98:AA:EF:AD", "-88", "56", "1:04:46 pm"
"eduroam", "70:DB:98:AA:EF:AD", "-89", "56", "1:04:48 pm"
"eduroam", "70:DB:98:AA:EF:AD", "-89", "56", "1:04:51 pm"
"LGF0G0005", "80:3F:5D:19:35:37", "-89", "1", "1:04:29 pm"
"LGF0G0005", "80:3F:5D:19:35:37", "-89", "1", "1:04:32 pm"
"LGF0G0005", "80:3F:5D:19:35:37", "-89", "1", "1:04:34 pm"
"LGF0G0005", "80:3F:5D:19:35:37", "-94", "1", "1:04:37 pm"
"LGF0G0005", "80:3F:5D:19:35:37", "-94", "1", "1:04:39 pm"
