SSID,BSS,RSSI,Channel,Time
,,,,
eduroam,10:BD:18:C7:29:E2,-84,1,12:35:39
,,,,
eduroam,10:BD:18:C7:29:E2,-84,1,12:35:45
,,,,
eduroam,10:BD:18:C7:29:E2,-84,1,12:35:48
,,,,
eduroam,10:BD:18:C7:29:E2,-84,1,12:35:54
,,,,
eduroam,10:BD:18:C7:29:E2,-84,1,12:35:58
,,,,
eduroam,10:BD:18:C7:29:E2,-84,1,12:36:01
,,,,
Unifi,A0:CF:5B:3F:88:E0,-86,6,12:35:39
,,,,
Unifi,A0:CF:5B:3F:88:E0,-88,6,12:35:45
,,,,
Unifi,A0:CF:5B:3F:88:E0,-88,6,12:35:48
,,,,
Unifi,A0:CF:5B:3F:88:E0,-88,6,12:35:54
,,,,
Unifi,A0:CF:5B:3F:88:E0,-88,6,12:35:58
,,,,
Unifi,A0:CF:5B:3F:88:E0,-88,6,12:36:01
,,,,
Unifi,A0:CF:5B:3F:88:E0,-88,6,12:36:04
,,,,
Unifi,A0:CF:5B:3F:88:E0,-88,6,12:36:10
,,,,
Unifi,70:DF:2F:9C:47:4F,-88,64,12:35:39
,,,,
Unifi,70:DF:2F:9C:47:4F,-88,64,12:35:45
,,,,
Unifi,70:DF:2F:9C:47:4F,-88,64,12:35:48
,,,,
Unifi,70:DF:2F:9C:47:4F,-88,64,12:35:54
,,,,
Unifi,70:DF:2F:9C:47:4F,-88,64,12:35:58
,,,,
eduroam,70:DF:2F:9C:47:42,-85,1,12:35:39
,,,,
eduroam,70:DF:2F:9C:47:42,-85,1,12:35:45
,,,,
eduroam,70:DF:2F:9C:47:42,-85,1,12:35:48
,,,,
eduroam,70:DF:2F:9C:47:42,-89,1,12:35:54
,,,,
eduroam,70:DF:2F:9C:47:42,-89,1,12:35:58
,,,,
eduroam,70:DF:2F:9C:47:42,-89,1,12:36:01
,,,,
eduroam,70:DF:2F:9C:47:42,-89,1,12:36:04
,,,,
eduroam,70:DF:2F:9C:47:42,-89,1,12:36:10
,,,,
eduroam,70:DF:2F:9C:47:42,-89,1,12:36:14
,,,,
UnifiGuest,A0:CF:5B:3D:82:71,-87,1,12:35:39
,,,,
UnifiGuest,A0:CF:5B:3D:82:71,-87,1,12:35:45
,,,,
UnifiGuest,A0:CF:5B:3D:82:71,-87,1,12:35:48
,,,,
UnifiGuest,A0:CF:5B:3D:82:71,-87,1,12:35:54
,,,,
UnifiGuest,A0:CF:5B:3F:88:E1,-83,6,12:35:39
,,,,
UnifiGuest,A0:CF:5B:3F:88:E1,-88,6,12:35:45
,,,,
UnifiGuest,A0:CF:5B:3F:88:E1,-88,6,12:35:48
,,,,
UnifiGuest,A0:CF:5B:3F:88:E1,-88,6,12:35:54
,,,,
UnifiGuest,A0:CF:5B:3F:88:E1,-89,6,12:35:58
,,,,
UnifiGuest,A0:CF:5B:3F:88:E1,-89,6,12:36:01
,,,,
