SSID,BSS,RSSI,Channel,Time
,,,,
Unifi,A0:CF:5B:3F:88:B0,-76,6,12:42:30
,,,,
Unifi,A0:CF:5B:3F:88:B0,-75,6,12:42:34
,,,,
Unifi,A0:CF:5B:3F:88:B0,-72,6,12:42:37
,,,,
Unifi,A0:CF:5B:3F:88:B0,-73,6,5--12:42:41
,,,,
Unifi,A0:CF:5B:3F:88:B0,-73,6,12:42:45
,,,,
Unifi,A0:CF:5B:3F:88:B0,-73,6,12:42:49
,,,,
Unifi,A0:CF:5B:3F:88:B0,-69,6,12:42:53
,,,,
Unifi,A0:CF:5B:3F:88:B0,-73,6,12:42:57
,,,,
Unifi,A0:CF:5B:3F:88:B0,-73,6,12:43:01
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-76,6,12:42:30
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-76,6,12:42:34
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-72,6,12:42:37
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-72,6,12:42:41
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-72,6,12:42:45
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-72,6,12:42:49
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-69,6,12:42:53
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-73,6,12:42:57
,,,,
UnifiGuest,A0:CF:5B:3F:88:B1,-73,6,12:43:01
,,,,
eduroam,7C:21:0E:3E:6A:AD,-92,149,12:42:30
,,,,
eduroam,7C:21:0E:3E:6A:AD,-92,149,12:42:34
,,,,
eduroam,7C:21:0E:3E:6A:AD,-92,149,12:42:37
,,,,
eduroam,7C:21:0E:3E:6A:AD,-92,149,12:42:41
,,,,
eduroam,7C:21:0E:3E:6A:AD,-92,149,12:42:45
,,,,
eduroam,7C:21:0E:3E:6A:AD,-92,149,12:42:49
,,,,
eduroam,7C:21:0E:3E:6A:AD,-92,149,12:42:53
,,,,
eduroam,7C:21:0E:3E:6A:AD,-92,149,12:42:57
,,,,
eduroam,A0:CF:5B:3D:70:3D,-82,48,12:42:30
,,,,
eduroam,A0:CF:5B:3D:70:3D,-80,48,12:42:34
,,,,
eduroam,A0:CF:5B:3D:70:3D,-83,48,12:42:37
,,,,
eduroam,A0:CF:5B:3D:70:3D,-79,48,12:42:41
,,,,
eduroam,A0:CF:5B:3D:70:3D,-80,48,12:42:45
,,,,
eduroam,A0:CF:5B:3D:70:3D,-84,48,12:42:49
,,,,
eduroam,A0:CF:5B:3D:70:3D,-81,48,12:42:53
,,,,
eduroam,A0:CF:5B:3D:70:3D,-73,48,12:42:57
,,,,
eduroam,A0:CF:5B:3D:70:3D,-74,48,12:43:01
,,,,
UniTheatresFOH,4C:5E:0C:6D:F7:59,-87,36,12:42:30
,,,,
UniTheatresFOH,4C:5E:0C:6D:F7:59,-78,36,12:42:34
,,,,
UniTheatresFOH,4C:5E:0C:6D:F7:59,-82,36,12:42:37
,,,,
UniTheatresFOH,4C:5E:0C:6D:F7:59,-72,36,12:42:41
,,,,
UniTheatresFOH,4C:5E:0C:6D:F7:59,-83,36,12:42:45
,,,,
UniTheatresFOH,4C:5E:0C:6D:F7:59,-83,36,12:42:49
,,,,
UniTheatresFOH,4C:5E:0C:6D:F7:59,-83,36,12:42:53
,,,,
UniTheatresFOH,4C:5E:0C:6D:F7:59,-75,36,12:42:57
,,,,
UniTheatresFOH,4C:5E:0C:6D:F7:59,-74,36,12:43:01
,,,,
Unifi,A0:CF:5B:3D:70:30,-67,11,12:42:30
,,,,
Unifi,A0:CF:5B:3D:70:30,-64,11,12:42:34
,,,,
Unifi,A0:CF:5B:3D:70:30,-61,11,12:42:37
,,,,
Unifi,A0:CF:5B:3D:70:30,-70,11,12:42:41
,,,,
Unifi,A0:CF:5B:3D:70:30,-62,11,12:42:45
,,,,
Unifi,A0:CF:5B:3D:70:30,-71,11,12:42:49
,,,,
Unifi,A0:CF:5B:3D:70:30,-58,11,12:42:53
,,,,
Unifi,A0:CF:5B:3D:70:30,-64,11,12:42:57
,,,,
Unifi,A0:CF:5B:3D:70:30,-60,11,12:43:01
,,,,
eduroam,A0:CF:5B:3F:88:B2,-76,6,12:42:30
,,,,
eduroam,A0:CF:5B:3F:88:B2,-73,6,12:42:34
,,,,
eduroam,A0:CF:5B:3F:88:B2,-73,6,12:42:37
,,,,
eduroam,A0:CF:5B:3F:88:B2,-72,6,12:42:41
,,,,
eduroam,A0:CF:5B:3F:88:B2,-72,6,12:42:45
,,,,
eduroam,A0:CF:5B:3F:88:B2,-72,6,12:42:49
,,,,
eduroam,A0:CF:5B:3F:88:B2,-69,6,12:42:53
,,,,
eduroam,A0:CF:5B:3F:88:B2,-73,6,12:42:57
,,,,
eduroam,A0:CF:5B:3F:88:B2,-73,6,12:43:01
,,,,
UnifiGuest,7C:21:0E:3E:6A:AE,-93,149,12:42:30
,,,,
UnifiGuest,7C:21:0E:3E:6A:AE,-93,149,12:42:34
,,,,
UnifiGuest,7C:21:0E:3E:6A:AE,-93,149,12:42:37
,,,,
UnifiGuest,7C:21:0E:3E:6A:AE,-93,149,12:42:41
,,,,
UnifiGuest,7C:21:0E:3E:6A:AE,-93,149,12:42:45
,,,,
UnifiGuest,7C:21:0E:3E:6A:AE,-93,149,12:42:49
,,,,
UnifiGuest,7C:21:0E:3E:6A:AE,-93,149,12:42:53
,,,,
UnifiGuest,7C:21:0E:3E:6A:AE,-93,149,12:42:57
,,,,
UnifiGuest,7C:21:0E:3E:6A:A1,-89,1,12:42:30
,,,,
UnifiGuest,7C:21:0E:3E:6A:A1,-89,1,12:42:34
,,,,
UnifiGuest,A0:CF:5B:3D:70:3E,-83,48,12:42:30
,,,,
UnifiGuest,A0:CF:5B:3D:70:3E,-80,48,12:42:34
,,,,
UnifiGuest,A0:CF:5B:3D:70:3E,-83,48,12:42:37
,,,,
UnifiGuest,A0:CF:5B:3D:70:3E,-79,48,12:42:41
,,,,
UnifiGuest,A0:CF:5B:3D:70:3E,-80,48,12:42:45
,,,,
UnifiGuest,A0:CF:5B:3D:70:3E,-83,48,12:42:49
,,,,
UnifiGuest,A0:CF:5B:3D:70:3E,-81,48,12:42:53
,,,,
UnifiGuest,A0:CF:5B:3D:70:3E,-73,48,12:42:57
,,,,
UnifiGuest,A0:CF:5B:3D:70:3E,-73,48,12:43:01
,,,,
Unifi,E8:65:49:33:06:F0,-86,11,12:42:30
,,,,
Unifi,E8:65:49:33:06:F0,-86,11,12:42:34
,,,,
UnifiGuest,A0:CF:5B:3D:70:31,-63,11,12:42:30
,,,,
UnifiGuest,A0:CF:5B:3D:70:31,-62,11,12:42:34
,,,,
UnifiGuest,A0:CF:5B:3D:70:31,-64,11,12:42:37
,,,,
UnifiGuest,A0:CF:5B:3D:70:31,-73,11,12:42:41
,,,,
UnifiGuest,A0:CF:5B:3D:70:31,-65,11,12:42:45
,,,,
UnifiGuest,A0:CF:5B:3D:70:31,-68,11,12:42:49
,,,,
UnifiGuest,A0:CF:5B:3D:70:31,-62,11,12:42:53
,,,,
UnifiGuest,A0:CF:5B:3D:70:31,-62,11,12:42:57
,,,,
UnifiGuest,A0:CF:5B:3D:70:31,-61,11,12:43:01
,,,,
